,FSCS,Location,Library Class,Total Population Served,City,County,Cooperative,Non-Resident Fee,NR Fee Annual or One Time,Fee schedule or non-resident rate (Example: $35/family;$25/individual),Full Library Service for Contracted Municipalities
0,MI0147,Alden District Library,"Class 1: Serve 3,999 or less",1285.0,Alden,Antrim,Mid-Michigan Library League,Yes,Annual, $5/individual; $10/family,Yes
1,MI9010,Ashley District Library,"Class 1: Serve 3,999 or less",3248.0,Ashley,Gratiot,White Pine Library Cooperative,No,,,Yes
2,MI0023,Beaver Island District Library,"Class 1: Serve 3,999 or less",657.0,Beaver Island,Charlevoix,Northland Library Cooperative,No,,,
3,MI0024,Bellaire Public Library,"Class 1: Serve 3,999 or less",3769.0,Bellaire,Antrim,Mid-Michigan Library League,Yes,Annual,10.00/ individual,Yes
4,MI0025,Bellevue Township Library,"Class 1: Serve 3,999 or less",3150.0,Bellevue,Eaton,Woodlands Library Cooperative,No,,,
5,MI0114,Benzie Shores District Library,"Class 1: Serve 3,999 or less",3811.0,Frankfort,Benzie,Mid-Michigan Library League,No,,,
6,MI0029,Benzonia Public Library,"Class 1: Serve 3,999 or less",3623.0,Benzonia,Benzie,Mid-Michigan Library League,No,,,Yes
7,MI0033,Betsie Valley District Library,"Class 1: Serve 3,999 or less",2937.0,Thompsonville,Benzie,Mid-Michigan Library League,No,,,
8,MI0048,Burr Oak Township Library,"Class 1: Serve 3,999 or less",2611.0,Burr Oak,St. Joseph,Woodlands Library Cooperative,No,,,
9,MI0053,Carp Lake Township Library,"Class 1: Serve 3,999 or less",722.0,White Pine,Ontonagon,Superiorland Library Cooperative,Yes,Annual,10/Individual,No
10,MI0058,Central Lake District Library,"Class 1: Serve 3,999 or less",3995.0,Central Lake,Antrim,Mid-Michigan Library League,Yes,Annual,2100 Banks Township,Yes
11,MI0062,Chase Township Public Library,"Class 1: Serve 3,999 or less",1854.0,Chase,Lake,Mid-Michigan Library League,No,,,Yes
12,MI0065,Clinton Township Public Library,"Class 1: Serve 3,999 or less",3604.0,Clinton,Lenawee,Woodlands Library Cooperative,Yes,Annual,$10/family,Yes
13,MI0068,Colon Township Library,"Class 1: Serve 3,999 or less",3803.0,Colon,St. Joseph,Woodlands Library Cooperative,No,,,Yes
14,MI0069,Columbia Township Library,"Class 1: Serve 3,999 or less",2373.0,Unionville,Tuscola,White Pine Library Cooperative,No,,,Yes
15,MI0076,Crooked Tree District Library,"Class 1: Serve 3,999 or less",3953.0,Walloon Lake,Charlevoix,Northland Library Cooperative,Yes,Annual,$75/family,
16,MI0429,Croton Township Library,"Class 1: Serve 3,999 or less",3228.0,Newaygo,Newaygo,Lakeland Library Cooperative,Yes,Annual,24,
17,MI0077,Crystal Falls District Community Library,"Class 1: Serve 3,999 or less",3453.0,Crystal Falls,Iron,Superiorland Library Cooperative,Yes,Annual,$30/Individual; $45/Family,
18,MI0417,Curtis Township Library,"Class 1: Serve 3,999 or less",1236.0,Glennie,Alcona,Superiorland Library Cooperative,No,,,
19,MI0034,Darcy Library of Beulah,"Class 1: Serve 3,999 or less",3179.0,Beulah,Benzie,Mid-Michigan Library League,No,,,Yes
20,MI0099,Elk Township Library,"Class 1: Serve 3,999 or less",2769.0,Peck,Sanilac,White Pine Library Cooperative,No,,,Yes
21,MI0100,Elsie Public Library,"Class 1: Serve 3,999 or less",3738.0,Elsie,Clinton,White Pine Library Cooperative,Yes,Annual,$50/family,Yes
22,MI0103,Fairgrove District Library,"Class 1: Serve 3,999 or less",3112.0,Fairgrove,Tuscola,White Pine Library Cooperative,No,,,
23,MI0109,Fife Lake Public Library,"Class 1: Serve 3,999 or less",2791.0,Fife Lake,Grand Traverse,Northland Library Cooperative,No,,,
24,MI0115,Franklin Public Library,"Class 1: Serve 3,999 or less",3150.0,Franklin,Oakland,The Library Network,Yes,Annual,165/Individual,
25,MI0120,Galien Township Public Library,"Class 1: Serve 3,999 or less",3043.0,Galien,Berrien,Southwest Michigan Library Cooperative,No,,,Yes
26,MI0376,George W. Spindler Memorial Library,"Class 1: Serve 3,999 or less",2047.0,Woodland,Barry,Woodlands Library Cooperative,No,,,
27,MI0128,Glen Lake Community Library,"Class 1: Serve 3,999 or less",3650.0,Empire,Leelanau,Mid-Michigan Library League,Yes,OneTime,10,
28,MI0436,Goodland Township Library,"Class 1: Serve 3,999 or less",1828.0,Imlay City,Lapeer,Mideastern Michigan Library Cooperative,Yes,OneTime,5,
29,MI0155,Homer Public Library,"Class 1: Serve 3,999 or less",3926.0,Homer,Calhoun,Woodlands Library Cooperative,No,,,Yes
30,MI0167,Indian River Area Library,"Class 1: Serve 3,999 or less",3038.0,Indian River,Cheboygan,Northland Library Cooperative,Yes,Annual,25.00,
31,MI0187,Lake Linden-Hubbell School/Public Library,"Class 1: Serve 3,999 or less",3730.0,Lake Linden,Houghton,Superiorland Library Cooperative,No,,,
32,MI0191,Lawrence Memorial Public Library,"Class 1: Serve 3,999 or less",2735.0,Climax,Kalamazoo,Southwest Michigan Library Cooperative,Yes,Annual,24.00/individual or family,Yes
33,MI0192,Lawton Public Library,"Class 1: Serve 3,999 or less",1900.0,Lawton,Van Buren,Southwest Michigan Library Cooperative,No,,,
34,MI0193,Leelanau Township Library,"Class 1: Serve 3,999 or less",2027.0,Northport,Leelanau,Mid-Michigan Library League,No,,,
35,MI0197,LeRoy Community Library,"Class 1: Serve 3,999 or less",2835.0,LeRoy,Osceola,Mid-Michigan Library League,No,,,Yes
36,MI0199,Litchfield District Library,"Class 1: Serve 3,999 or less",2372.0,Litchfield,Hillsdale,Woodlands Library Cooperative,No,,,No
37,MI0205,Lyons Township District Library,"Class 1: Serve 3,999 or less",3667.0,Lyons,Ionia,Woodlands Library Cooperative,No,,,Yes
38,MI0207,Mackinac Island Public Library,"Class 1: Serve 3,999 or less",492.0,Mackinac Island,Mackinac,Superiorland Library Cooperative,Yes,Annual,10,
39,MI0215,Maple Rapids Public Library,"Class 1: Serve 3,999 or less",3115.0,Maple Rapids,Clinton,White Pine Library Cooperative,No,,,Yes
40,MI0227,Merrill District Library,"Class 1: Serve 3,999 or less",3433.0,MERRILL,Saginaw,White Pine Library Cooperative,No,,,Yes
41,MI0238,Mulliken District Library,"Class 1: Serve 3,999 or less",1848.0,Mulliken,Eaton,Woodlands Library Cooperative,No,,,
