,FSCS,Location,Library Class,Total Population Served,Number of ALA-MLS Librarians,Total Hours per Week worked by ALA-MLS Librarians,ALA-MLS FTE (40 Hours/wk),Number of Other Librarians,Total Hours per Week worked by Other Librarians,Other Librarians FTE (40 Hours/wk),Number of Total Librarians,Total Hours per Week worked by Total Librarians,Total Librarians FTE (40 Hours/wk),Number of All Other Paid Staff,Total Hours per Week worked by All Other Paid Staff,All Other Paid Staff FTE (40 Hours/wk),Number of Total Paid Employees,Total Hours per Week worked by Total Paid Employees,Total Paid Employees FTE (40 Hours/wk),Did the library have any temporary staffing reductions due to the COVID-19 Pandemic,If your library reduced staffing hours Due to COVID-19 provide an approximate total of the hours reduced,Were library staff re-assigned to assist other government agencies or nonprofit organizations with Coronavirus (COVID-19) pandemic-related efforts?
0,MI0147,Alden District Library,"Class 1: Serve 3,999 or less",1285.0,0.0,0.0,0.0,1.0,40.0,1.0,1.0,40.0,1.0,4.0,30.0,0.75,5.0,70.0,1.75,Yes,548.0,No
1,MI9010,Ashley District Library,"Class 1: Serve 3,999 or less",3248.0,0.0,0.0,0.0,1.0,40.0,1.0,1.0,40.0,1.0,1.0,4.0,0.1,2.0,44.0,1.1,Yes,44.0,No
2,MI0023,Beaver Island District Library,"Class 1: Serve 3,999 or less",657.0,0.0,0.0,0.0,3.0,60.0,1.5,3.0,60.0,1.5,1.0,6.0,0.15,4.0,66.0,1.65,No,0.0,No
3,MI0024,Bellaire Public Library,"Class 1: Serve 3,999 or less",3769.0,1.0,40.0,1.0,1.0,40.0,1.0,1.0,40.0,1.0,3.0,54.0,1.35,4.0,94.0,2.35,No,0.0,No
4,MI0025,Bellevue Township Library,"Class 1: Serve 3,999 or less",3150.0,0.0,0.0,0.0,1.0,25.0,0.625,1.0,25.0,0.625,0.0,0.0,0.0,1.0,25.0,0.625,No,0.0,No
5,MI0114,Benzie Shores District Library,"Class 1: Serve 3,999 or less",3811.0,1.0,40.0,1.0,2.0,58.0,1.45,3.0,98.0,2.45,2.0,35.0,0.875,5.0,133.0,3.325,Yes,324.0,No
6,MI0029,Benzonia Public Library,"Class 1: Serve 3,999 or less",3623.0,0.0,0.0,0.0,5.0,72.0,1.8,5.0,72.0,1.8,1.0,6.0,0.15,6.0,78.0,1.95,No,0.0,No
7,MI0033,Betsie Valley District Library,"Class 1: Serve 3,999 or less",2937.0,0.0,0.0,0.0,3.0,41.0,1.025,3.0,41.0,1.025,0.0,0.0,0.0,3.0,41.0,1.025,Yes,280.0,No
8,MI0048,Burr Oak Township Library,"Class 1: Serve 3,999 or less",2611.0,0.0,0.0,0.0,2.0,28.0,0.7,2.0,28.0,0.7,0.0,0.0,0.0,2.0,28.0,0.7,Yes,354.0,No
9,MI0053,Carp Lake Township Library,"Class 1: Serve 3,999 or less",722.0,0.0,0.0,0.0,1.0,20.0,0.5,1.0,20.0,0.5,1.0,4.0,0.1,2.0,24.0,0.6,Yes,32.0,No
10,MI0058,Central Lake District Library,"Class 1: Serve 3,999 or less",3995.0,0.0,0.0,0.0,1.0,40.0,1.0,1.0,40.0,1.0,3.0,74.0,1.85,4.0,114.0,2.85,No,0.0,No
11,MI0062,Chase Township Public Library,"Class 1: Serve 3,999 or less",1854.0,0.0,0.0,0.0,1.0,27.0,0.675,1.0,27.0,0.675,0.0,0.0,0.0,1.0,27.0,0.675,Yes,297.0,No
12,MI0065,Clinton Township Public Library,"Class 1: Serve 3,999 or less",3604.0,1.0,35.0,0.875,2.0,2.0,0.05,3.0,37.0,0.925,5.0,91.0,2.275,8.0,128.0,3.2,Yes,435.0,No
13,MI0068,Colon Township Library,"Class 1: Serve 3,999 or less",3803.0,0.0,0.0,0.0,4.0,85.0,2.125,4.0,85.0,2.125,1.0,8.0,0.2,4.0,93.0,2.325,No,0.0,No
14,MI0069,Columbia Township Library,"Class 1: Serve 3,999 or less",2373.0,1.0,25.5,0.6375,1.0,12.0,0.3,2.0,37.5,0.9375,6.0,39.25,0.98125,8.0,76.75,1.91875,Yes,164.0,No
15,MI0076,Crooked Tree District Library,"Class 1: Serve 3,999 or less",3953.0,2.0,77.0,1.925,0.0,0.0,0.0,2.0,77.0,1.925,2.0,45.0,1.125,4.0,122.0,3.05,No,0.0,No
16,MI0429,Croton Township Library,"Class 1: Serve 3,999 or less",3228.0,0.0,0.0,0.0,2.0,57.0,1.425,2.0,57.0,1.425,2.0,27.0,0.675,5.0,84.0,2.1,No,0.0,No
17,MI0077,Crystal Falls District Community Library,"Class 1: Serve 3,999 or less",3453.0,0.0,0.0,0.0,1.0,31.0,0.775,1.0,31.0,0.775,10.0,86.61,2.16525,11.0,117.61,2.94025,Yes,1000.0,No
18,MI0417,Curtis Township Library,"Class 1: Serve 3,999 or less",1236.0,0.0,0.0,0.0,2.0,46.0,1.15,2.0,46.0,1.15,1.0,15.0,0.375,3.0,61.0,1.525,Yes,6.0,No
19,MI0034,Darcy Library of Beulah,"Class 1: Serve 3,999 or less",3179.0,3.0,48.0,1.2,2.0,25.0,0.625,5.0,73.0,1.825,0.0,0.0,0.0,5.0,73.0,1.825,Yes,761.0,No
20,MI0099,Elk Township Library,"Class 1: Serve 3,999 or less",2769.0,0.0,0.0,0.0,1.0,35.0,0.875,1.0,35.0,0.875,0.0,0.0,0.0,1.0,35.0,0.875,No,0.0,No
21,MI0100,Elsie Public Library,"Class 1: Serve 3,999 or less",3738.0,0.0,0.0,0.0,1.0,25.0,0.625,1.0,25.0,0.625,6.0,50.0,1.25,7.0,75.0,1.875,Yes,252.0,No
22,MI0103,Fairgrove District Library,"Class 1: Serve 3,999 or less",3112.0,0.0,0.0,0.0,1.0,33.0,0.825,1.0,33.0,0.825,4.0,73.0,1.825,5.0,106.0,2.65,Yes,40.0,No
23,MI0109,Fife Lake Public Library,"Class 1: Serve 3,999 or less",2791.0,1.0,3.0,0.075,10.0,104.13,2.60325,11.0,107.22,2.6805,0.0,0.0,0.0,11.0,107.22,2.6805,Yes,1040.0,No
24,MI0115,Franklin Public Library,"Class 1: Serve 3,999 or less",3150.0,2.0,27.0,0.675,2.0,23.0,0.575,4.0,51.0,1.275,6.0,16.0,0.4,9.0,67.0,1.675,No,0.0,No
25,MI0120,Galien Township Public Library,"Class 1: Serve 3,999 or less",3043.0,0.0,0.0,0.0,1.0,40.0,1.0,1.0,40.0,1.0,1.0,10.0,0.25,2.0,50.0,1.25,Yes,300.0,No
26,MI0376,George W. Spindler Memorial Library,"Class 1: Serve 3,999 or less",2047.0,0.0,0.0,0.0,1.0,20.0,0.5,1.0,20.0,0.5,2.0,3.0,0.075,3.0,23.0,0.575,No,0.0,No
27,MI0128,Glen Lake Community Library,"Class 1: Serve 3,999 or less",3650.0,1.0,40.0,1.0,1.0,40.0,1.0,2.0,80.0,2.0,3.0,5.3,0.1325,5.0,85.3,2.1325,No,0.0,No
28,MI0436,Goodland Township Library,"Class 1: Serve 3,999 or less",1828.0,0.0,0.0,0.0,2.0,30.0,0.75,2.0,30.0,0.75,0.0,0.0,0.0,2.0,30.0,0.75,No,0.0,No
29,MI0155,Homer Public Library,"Class 1: Serve 3,999 or less",3926.0,0.0,0.0,0.0,4.0,97.78,2.4445,4.0,97.78,2.4445,5.0,25.81,0.64525,9.0,123.59,3.08975,Yes,20.0,No
30,MI0167,Indian River Area Library,"Class 1: Serve 3,999 or less",3038.0,0.0,0.0,0.0,3.0,71.0,1.775,3.0,71.0,1.775,0.0,0.0,0.0,3.0,71.0,1.775,No,0.0,No
31,MI0187,Lake Linden-Hubbell School/Public Library,"Class 1: Serve 3,999 or less",3730.0,0.0,0.0,0.0,1.0,20.0,0.5,1.0,20.0,0.5,2.0,30.0,0.75,2.0,50.0,1.25,Yes,30.0,No
32,MI0191,Lawrence Memorial Public Library,"Class 1: Serve 3,999 or less",2735.0,1.0,2.0,0.05,0.0,0.0,0.0,1.0,2.0,0.05,2.0,0.0,0.0,3.0,2.0,0.05,No,0.0,No
33,MI0192,Lawton Public Library,"Class 1: Serve 3,999 or less",1900.0,0.0,0.0,0.0,1.0,38.0,0.95,3.0,70.0,1.75,2.0,38.0,0.95,5.0,108.0,2.7,Yes,736.0,No
34,MI0193,Leelanau Township Library,"Class 1: Serve 3,999 or less",2027.0,1.0,40.0,1.0,0.0,0.0,0.0,1.0,40.0,1.0,4.0,23.0,0.575,5.0,63.0,1.575,No,0.0,No
35,MI0197,LeRoy Community Library,"Class 1: Serve 3,999 or less",2835.0,1.0,20.0,0.5,1.0,8.0,0.2,2.0,26.0,0.65,0.0,0.0,0.0,2.0,26.0,0.65,Yes,351.0,No
36,MI0199,Litchfield District Library,"Class 1: Serve 3,999 or less",2372.0,1.0,24.0,0.6,2.0,32.0,0.8,2.0,44.0,1.1,0.0,0.0,0.0,3.0,44.0,1.1,Yes,24.0,No
37,MI0205,Lyons Township District Library,"Class 1: Serve 3,999 or less",3667.0,1.0,38.0,0.95,0.0,0.0,0.0,1.0,38.0,0.95,3.0,53.0,1.325,4.0,91.0,2.275,No,0.0,No
38,MI0207,Mackinac Island Public Library,"Class 1: Serve 3,999 or less",492.0,0.0,0.0,0.0,1.0,40.0,1.0,1.0,40.0,1.0,0.0,0.0,0.0,1.0,40.0,1.0,No,0.0,No
39,MI0215,Maple Rapids Public Library,"Class 1: Serve 3,999 or less",3115.0,0.0,0.0,0.0,2.0,34.0,0.85,2.0,34.0,0.85,1.0,1.0,0.025,3.0,35.0,0.875,No,0.0,No
40,MI0227,Merrill District Library,"Class 1: Serve 3,999 or less",3433.0,0.0,0.0,0.0,1.0,28.0,0.7,1.0,24.0,0.6,2.0,13.5,0.3375,4.0,37.5,0.9375,No,0.0,No
41,MI0238,Mulliken District Library,"Class 1: Serve 3,999 or less",1848.0,0.0,0.0,0.0,2.0,40.0,1.0,2.0,40.0,1.0,1.0,6.0,0.15,3.0,46.0,1.15,Yes,20.0,No
42,MI0247,North Branch Township Library,"Class 1: Serve 3,999 or less",3645.0,1.0,0.0,0.0,4.0,109.0,2.725,4.0,109.0,2.725,3.0,32.0,0.8,7.0,141.0,3.525,Yes,20.0,No
43,MI0254,Ontonagon Township Library,"Class 1: Serve 3,999 or less",3679.0,0.0,0.0,0.0,2.0,60.0,1.5,2.0,60.0,1.5,3.0,2.0,0.05,5.0,62.0,1.55,Yes,100.0,No
44,MI0256,Osceola Township School Public Library,"Class 1: Serve 3,999 or less",1830.0,0.0,0.0,0.0,1.0,32.0,0.8,1.0,32.0,0.8,1.0,2.5,0.0625,2.0,34.5,0.8625,Yes,75.0,Yes
