,FSCS,Location,Library Class,Total Population Served,Federal Capital Income,State Capital Income,Local Capital Icome,Private Capital Income,Total Capital Income,Capital Expenditures for Electronic Access,Furnishings and Equipment Expenditures,Building Expenditures,Other Capital Expenditures,Total Capital Expenditures
0,MI0147,Alden District Library,"Class 1: Serve 3,999 or less",1285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,MI9010,Ashley District Library,"Class 1: Serve 3,999 or less",3248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24240.0,0.0,24240.0
2,MI0023,Beaver Island District Library,"Class 1: Serve 3,999 or less",657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,MI0024,Bellaire Public Library,"Class 1: Serve 3,999 or less",3769.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,650.0
4,MI0025,Bellevue Township Library,"Class 1: Serve 3,999 or less",3150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,MI0114,Benzie Shores District Library,"Class 1: Serve 3,999 or less",3811.0,0.0,0.0,0.0,171000.0,171000.0,0.0,1978.0,0.0,52237.0,54215.0
6,MI0029,Benzonia Public Library,"Class 1: Serve 3,999 or less",3623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,MI0033,Betsie Valley District Library,"Class 1: Serve 3,999 or less",2937.0,0.0,2352.0,0.0,0.0,2352.0,2706.0,604.0,0.0,0.0,3310.0
8,MI0048,Burr Oak Township Library,"Class 1: Serve 3,999 or less",2611.0,0.0,0.0,0.0,0.0,0.0,90.0,1100.0,0.0,0.0,1190.0
9,MI0053,Carp Lake Township Library,"Class 1: Serve 3,999 or less",722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,MI0058,Central Lake District Library,"Class 1: Serve 3,999 or less",3995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,MI0062,Chase Township Public Library,"Class 1: Serve 3,999 or less",1854.0,0.0,0.0,2465.0,0.0,2465.0,0.0,4930.0,0.0,0.0,4930.0
12,MI0065,Clinton Township Public Library,"Class 1: Serve 3,999 or less",3604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,MI0068,Colon Township Library,"Class 1: Serve 3,999 or less",3803.0,0.0,0.0,89462.0,0.0,89462.0,0.0,0.0,6743.0,0.0,6743.0
14,MI0069,Columbia Township Library,"Class 1: Serve 3,999 or less",2373.0,0.0,0.0,0.0,0.0,0.0,0.0,36225.0,521516.0,0.0,557741.0
15,MI0076,Crooked Tree District Library,"Class 1: Serve 3,999 or less",3953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764.0,2764.0
16,MI0429,Croton Township Library,"Class 1: Serve 3,999 or less",3228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,MI0077,Crystal Falls District Community Library,"Class 1: Serve 3,999 or less",3453.0,0.0,0.0,0.0,1000.0,1000.0,0.0,6727.0,0.0,0.0,6727.0
18,MI0417,Curtis Township Library,"Class 1: Serve 3,999 or less",1236.0,0.0,0.0,0.0,0.0,0.0,0.0,3665.0,454.0,226.0,4345.0
19,MI0034,Darcy Library of Beulah,"Class 1: Serve 3,999 or less",3179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,MI0099,Elk Township Library,"Class 1: Serve 3,999 or less",2769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,MI0100,Elsie Public Library,"Class 1: Serve 3,999 or less",3738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,MI0103,Fairgrove District Library,"Class 1: Serve 3,999 or less",3112.0,0.0,0.0,0.0,0.0,0.0,2763.0,0.0,28225.0,3082.0,34070.0
23,MI0109,Fife Lake Public Library,"Class 1: Serve 3,999 or less",2791.0,0.0,0.0,0.0,0.0,0.0,3551.0,0.0,5927.0,0.0,9478.0
24,MI0115,Franklin Public Library,"Class 1: Serve 3,999 or less",3150.0,0.0,0.0,0.0,0.0,0.0,0.0,962.0,29913.0,0.0,30875.0
25,MI0120,Galien Township Public Library,"Class 1: Serve 3,999 or less",3043.0,0.0,0.0,0.0,0.0,0.0,2807.0,4560.0,0.0,0.0,7367.0
26,MI0376,George W. Spindler Memorial Library,"Class 1: Serve 3,999 or less",2047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,MI0128,Glen Lake Community Library,"Class 1: Serve 3,999 or less",3650.0,0.0,76500.0,71000.0,491896.0,639396.0,0.0,0.0,0.0,925422.0,925422.0
28,MI0436,Goodland Township Library,"Class 1: Serve 3,999 or less",1828.0,0.0,725.0,0.0,0.0,725.0,0.0,457.0,75.0,0.0,532.0
29,MI0155,Homer Public Library,"Class 1: Serve 3,999 or less",3926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,MI0167,Indian River Area Library,"Class 1: Serve 3,999 or less",3038.0,0.0,0.0,0.0,9000.0,9000.0,0.0,4140.0,0.0,0.0,4140.0
31,MI0187,Lake Linden-Hubbell School/Public Library,"Class 1: Serve 3,999 or less",3730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
