,FSCS,Location,Library Class,Total Population Served,Number of Print Materials,Audio (Physical Units),Video (Physical Units),Subscriptions (Non-electronic),Total Electronic Collections,Electronic Books (E-Books),Audio (Downloadable Units),Video (Downloadable Units),Total eContent,Total Collection (Physical / Electronic Units),eMaterials Per Capita,Physical Materials Per Capita (subcriptions not included),Total Materials Per Capita
0,MI0147,Alden District Library,"Class 1: Serve 3,999 or less",1285.0,12328.0,966.0,1600.0,36.0,2.0,24965,38552,13137,76654,91548,59.652918287937744,11.590661478599221,71.24357976653697
1,MI9010,Ashley District Library,"Class 1: Serve 3,999 or less",3248.0,10867.0,55.0,428.0,25.0,2.0,16410,4256,0,20666,32016,6.362684729064039,3.4944581280788176,9.857142857142858
2,MI0023,Beaver Island District Library,"Class 1: Serve 3,999 or less",657.0,14231.0,446.0,1973.0,20.0,0.0,26650,5487,137,32274,48924,49.12328767123287,25.34246575342466,74.46575342465754
3,MI0024,Bellaire Public Library,"Class 1: Serve 3,999 or less",3769.0,25172.0,1224.0,1691.0,50.0,1.0,24965,12544,0,37509,65646,9.951976651631732,7.45210931281507,17.417352082780578
4,MI0025,Bellevue Township Library,"Class 1: Serve 3,999 or less",3150.0,15689.0,295.0,97.0,1.0,0.0,14002,3133,0,17135,33216,5.43968253968254,5.105079365079365,10.544761904761904
5,MI0114,Benzie Shores District Library,"Class 1: Serve 3,999 or less",3811.0,25606.0,418.0,2277.0,51.0,1.0,25915,5600,337,31852,60153,8.35791130936762,7.426134872736815,15.784046182104435
6,MI0029,Benzonia Public Library,"Class 1: Serve 3,999 or less",3623.0,14236.0,459.0,1586.0,11.0,0.0,24965,41650,137,66752,83033,18.424510074523877,4.493789677063207,22.91829975158708
7,MI0033,Betsie Valley District Library,"Class 1: Serve 3,999 or less",2937.0,6006.0,366.0,808.0,12.0,0.0,25306,40794,137,66237,73429,22.552604698672113,2.444671433435478,25.001361933946203
8,MI0048,Burr Oak Township Library,"Class 1: Serve 3,999 or less",2611.0,17237.0,300.0,400.0,19.0,0.0,0,0,0,0,17937,0,6.869781692837993,6.869781692837993
9,MI0053,Carp Lake Township Library,"Class 1: Serve 3,999 or less",722.0,12838.0,101.0,907.0,10.0,0.0,8362,4151,285,12798,26644,17.725761772853186,19.177285318559555,36.903047091412745
10,MI0058,Central Lake District Library,"Class 1: Serve 3,999 or less",3995.0,21531.0,1471.0,1407.0,23.0,0.0,21426,3602,134,25162,49594,6.29837296620776,6.109887359198999,12.414017521902379
11,MI0062,Chase Township Public Library,"Class 1: Serve 3,999 or less",1854.0,34747.0,373.0,875.0,7.0,0.0,0,0,0,0,35995,0,19.41477885652643,19.41477885652643
12,MI0065,Clinton Township Public Library,"Class 1: Serve 3,999 or less",3604.0,33058.0,1677.0,3050.0,39.0,3.0,19445,4253,0,23698,61483,6.5754716981132075,10.48418423973363,17.059655937846838
13,MI0068,Colon Township Library,"Class 1: Serve 3,999 or less",3803.0,22795.0,1111.0,1442.0,6.0,0.0,*,*,*,*,UTD,UTD,6.665264265053905,UTD
14,MI0069,Columbia Township Library,"Class 1: Serve 3,999 or less",2373.0,14532.0,263.0,2118.0,9.0,1.0,20745,4604,0,25349,42262,10.682258744205647,7.127265065318163,17.80952380952381
15,MI0076,Crooked Tree District Library,"Class 1: Serve 3,999 or less",3953.0,17335.0,943.0,1762.0,19.0,1.0,*,*,*,*,UTD,UTD,5.06956741715153,UTD
16,MI0429,Croton Township Library,"Class 1: Serve 3,999 or less",3228.0,12119.0,516.0,1678.0,29.0,0.0,8506,3464,0,11970,26283,3.70817843866171,4.434014869888476,8.142193308550185
17,MI0077,Crystal Falls District Community Library,"Class 1: Serve 3,999 or less",3453.0,12961.0,1939.0,3344.0,97.0,1.0,8064,3968,285,12317,30561,3.56704315088329,5.283521575441645,8.850564726324935
18,MI0417,Curtis Township Library,"Class 1: Serve 3,999 or less",1236.0,11666.0,347.0,1801.0,1.0,0.0,8064,3968,285,12317,26131,9.965210355987056,11.176375404530745,21.1415857605178
19,MI0034,Darcy Library of Beulah,"Class 1: Serve 3,999 or less",3179.0,11291.0,880.0,3497.0,18.0,0.0,21108,3476,134,24718,40386,7.775401069518717,4.928593897452029,12.703994966970745
20,MI0099,Elk Township Library,"Class 1: Serve 3,999 or less",2769.0,17315.0,160.0,120.0,23.0,0.0,0,0,0,0,17595,0,6.354279523293608,6.354279523293608
21,MI0100,Elsie Public Library,"Class 1: Serve 3,999 or less",3738.0,25251.0,35.0,2557.0,67.0,0.0,0,0,0,0,27843,0,7.448635634028893,7.448635634028893
22,MI0103,Fairgrove District Library,"Class 1: Serve 3,999 or less",3112.0,22213.0,0.0,4044.0,5.0,0.0,20745,4604,0,25349,51606,8.145565552699228,8.437339331619537,16.582904884318765
23,MI0109,Fife Lake Public Library,"Class 1: Serve 3,999 or less",2791.0,16822.0,421.0,2276.0,23.0,0.0,0,0,0,0,19519,0,6.99355069867431,6.99355069867431
24,MI0115,Franklin Public Library,"Class 1: Serve 3,999 or less",3150.0,14886.0,642.0,1678.0,47.0,0.0,43686,19883,852,64421,81674,20.45111111111111,5.4622222222222225,25.92825396825397
25,MI0120,Galien Township Public Library,"Class 1: Serve 3,999 or less",3043.0,37830.0,773.0,2121.0,31.0,1.0,17684,4171,291,22146,62870,7.27768649359185,13.382845875780479,20.66053236937233
26,MI0376,George W. Spindler Memorial Library,"Class 1: Serve 3,999 or less",2047.0,11921.0,152.0,704.0,2.0,0.0,0,0,0,0,12777,0,6.24181729360039,6.24181729360039
27,MI0128,Glen Lake Community Library,"Class 1: Serve 3,999 or less",3650.0,20142.0,3673.0,4816.0,50.0,5.0,24373,4338,24204,52915,81546,14.497260273972604,7.8441095890410955,22.3413698630137
28,MI0436,Goodland Township Library,"Class 1: Serve 3,999 or less",1828.0,6693.0,62.0,723.0,2.0,1.0,1,0,0,1,7481,0.0005470459518599562,4.090809628008753,4.092450765864332
29,MI0155,Homer Public Library,"Class 1: Serve 3,999 or less",3926.0,30834.0,944.0,863.0,25.0,1.0,16830,0,0,16830,49471,4.2868059093224655,8.314060112073356,12.600866021395822
30,MI0167,Indian River Area Library,"Class 1: Serve 3,999 or less",3038.0,30178.0,1046.0,2345.0,52.0,0.0,25412,4832,137,30381,63950,10.000329163923634,11.04970375246873,21.050032916392365
31,MI0187,Lake Linden-Hubbell School/Public Library,"Class 1: Serve 3,999 or less",3730.0,15725.0,42.0,174.0,25.0,0.0,8543,3883,285,12711,28652,3.407774798927614,4.27372654155496,7.681501340482574
32,MI0191,Lawrence Memorial Public Library,"Class 1: Serve 3,999 or less",2735.0,13815.0,644.0,2222.0,12.0,0.0,0,0,0,0,16681,0,6.09908592321755,6.09908592321755
33,MI0192,Lawton Public Library,"Class 1: Serve 3,999 or less",1900.0,26418.0,273.0,1586.0,28.0,0.0,9852,3054,291,13197,41474,6.9457894736842105,14.882631578947368,21.82842105263158
34,MI0193,Leelanau Township Library,"Class 1: Serve 3,999 or less",2027.0,16179.0,2111.0,2828.0,67.0,2.0,21648,36624,0,58272,79390,28.747903305377406,10.418352244696596,39.166255550074
35,MI0197,LeRoy Community Library,"Class 1: Serve 3,999 or less",2835.0,18509.0,57.0,177.0,37.0,25.0,26,8450,0,8476,27219,2.9897707231040562,6.611287477954145,9.601058201058201
36,MI0199,Litchfield District Library,"Class 1: Serve 3,999 or less",2372.0,17983.0,780.0,2245.0,0.0,0.0,0,12621,0,12621,33629,5.320826306913997,8.856661045531197,14.177487352445194
37,MI0205,Lyons Township District Library,"Class 1: Serve 3,999 or less",3667.0,14390.0,451.0,1636.0,23.0,1.0,0,0,0,0,16477,0,4.493318789200981,4.493318789200981
38,MI0207,Mackinac Island Public Library,"Class 1: Serve 3,999 or less",492.0,12883.0,266.0,740.0,27.0,0.0,8362,4151,285,12798,26687,26.01219512195122,28.229674796747968,54.24186991869919
39,MI0215,Maple Rapids Public Library,"Class 1: Serve 3,999 or less",3115.0,9768.0,158.0,1128.0,24.0,0.0,0,0,0,0,11078,0,3.5486356340288925,3.5563402889245586
40,MI0227,Merrill District Library,"Class 1: Serve 3,999 or less",3433.0,13574.0,55.0,315.0,20.0,0.0,0,0,0,0,13944,0,4.061753568307602,4.061753568307602
41,MI0238,Mulliken District Library,"Class 1: Serve 3,999 or less",1848.0,8451.0,165.0,2421.0,14.0,0.0,0,0,0,0,11037,0,5.972402597402597,5.972402597402597
42,MI0247,North Branch Township Library,"Class 1: Serve 3,999 or less",3645.0,36325.0,794.0,2828.0,87.0,1.0,23176,2244,0,25420,65367,6.973936899862826,10.959396433470507,17.933333333333334
43,MI0254,Ontonagon Township Library,"Class 1: Serve 3,999 or less",3679.0,27531.0,663.0,1522.0,34.0,3.0,8362,4151,285,12798,42514,3.478662680076108,8.077194889915738,11.555857569991845
44,MI0256,Osceola Township School Public Library,"Class 1: Serve 3,999 or less",1830.0,9013.0,76.0,7.0,3.0,0.0,0,0,0,0,9096,0,4.970491803278689,4.970491803278689
45,MI0267,Pentwater Township Library,"Class 1: Serve 3,999 or less",1939.0,10116.0,677.0,1976.0,54.0,0.0,23502,17501,132,41135,53904,21.214543579164516,6.5853532748839605,27.79989685404848
46,MI0427,Ray Township Public Library,"Class 1: Serve 3,999 or less",3739.0,9461.0,453.0,1248.0,0.0,3.0,6820,6820,0,13640,24802,3.64803423375234,2.9852901845413213,6.633324418293661
47,MI0285,Republic-Michigamme Public Library,"Class 1: Serve 3,999 or less",1508.0,14505.0,111.0,167.0,14.0,0.0,0,0,0,0,14783,0,9.803050397877984,9.803050397877984
48,MI0287,Richfield Township Public Library,"Class 1: Serve 3,999 or less",3731.0,13702.0,213.0,1803.0,13.0,0.0,0,8450,0,8450,24168,2.264808362369338,4.212811578665237,6.477619941034575
49,MI0289,Richland Township Library,"Class 1: Serve 3,999 or less",3674.0,16954.0,380.0,2747.0,43.0,1.0,0,8134,0,8134,28258,2.2139357648339684,5.465704953728906,7.691344583560152
50,MI0291,Richmond Township Library,"Class 1: Serve 3,999 or less",882.0,10246.0,61.0,360.0,14.0,0.0,8362,4151,285,12798,23465,14.510204081632653,12.094104308390023,26.604308390022677
51,MI0305,Schoolcraft Community Library,"Class 1: Serve 3,999 or less",3775.0,28209.0,693.0,834.0,23.0,7.0,19822,6722,0,26544,56303,7.031523178807947,7.877086092715232,14.914701986754967
52,MI0307,Seville Township Public Library,"Class 1: Serve 3,999 or less",3138.0,8525.0,564.0,853.0,2.0,1.0,0,8450,0,8450,18392,2.692797960484385,3.1682600382409176,5.861057998725303
53,MI0311,Sleeper Public Library,"Class 1: Serve 3,999 or less",3428.0,11893.0,85.0,1185.0,50.0,0.0,4690,4460,0,9150,22363,2.6691948658109683,3.8398483080513417,6.523628938156359
54,MI0312,Sodus Township Library,"Class 1: Serve 3,999 or less",1932.0,15358.0,129.0,696.0,14.0,0.0,0,0,0,0,16197,0,8.376293995859212,8.383540372670808
55,MI0327,Sunfield District Library,"Class 1: Serve 3,999 or less",2387.0,18924.0,920.0,4140.0,47.0,0.0,24238,5625,0,29863,53894,12.510682865521575,10.047758692919983,22.578131545873482
56,MI0334,Tekonsha Township Public Library,"Class 1: Serve 3,999 or less",1873.0,18061.0,147.0,746.0,2.0,1.0,17259,3951,0,21210,40166,11.324079017618793,10.119594233849439,21.444741057127604
57,MI0341,Topinabee Public Library,"Class 1: Serve 3,999 or less",2294.0,9800.0,325.0,350.0,18.0,0.0,21959,3813,134,25906,36399,11.292938099389712,4.566259808195292,15.867044463818658
58,MI0346,Vermontville Township Library,"Class 1: Serve 3,999 or less",3895.0,18116.0,28.0,2224.0,34.0,0.0,29125,9180,0,38305,58673,9.834403080872914,5.229268292682927,15.063671373555842
59,MI0350,Wakefield Public Library,"Class 1: Serve 3,999 or less",2156.0,14933.0,126.0,1042.0,22.0,0.0,8825,4309,285,13419,29542,6.224025974025974,7.467996289424861,13.702226345083488
60,MI0351,Waldron District Library,"Class 1: Serve 3,999 or less",2475.0,9141.0,330.0,1180.0,0.0,0.0,19145,6428,0,25573,36224,10.332525252525253,4.303434343434343,14.635959595959596
61,MI0352,Walkerville Public/School Library,"Class 1: Serve 3,999 or less",1968.0,12198.0,0.0,0.0,0.0,0.0,0,0,0,0,12198,0,6.198170731707317,6.198170731707317
62,MI0359,Watertown Township Library,"Class 1: Serve 3,999 or less",2202.0,13258.0,0.0,0.0,6.0,0.0,8400,2169,0,10569,23827,4.799727520435967,6.020890099909174,10.820617620345141
63,MI0365,Wheatland Township Library,"Class 1: Serve 3,999 or less",2913.0,20326.0,1297.0,60.0,0.0,0.0,0,0,0,0,21683,0,7.44352900789564,7.44352900789564
64,MI0369,Whitefish Township Community Library,"Class 1: Serve 3,999 or less",575.0,12060.0,812.0,1860.0,35.0,0.0,13419,4309,285,18013,32745,31.32695652173913,25.62086956521739,56.947826086956525
65,MI0375,Wolverine Community Library,"Class 1: Serve 3,999 or less",2738.0,32696.0,407.0,1703.0,33.0,0.0,0,0,0,0,34839,0,12.712198685171659,12.724251278305333
