,FSCS,Location, Cooperative, Library Class,Type,Were any of the library's physical locations closed to the public for any period of time due to the Coronavirus (COVID-19) pandemic?,Did any staff continue to provide services to the public during any portion of the period when the building was physically closed due to the Coronavirus (COVID-19) pandemic?,How many hours of alternate service were provided due to the Coronavirus (COVID-19) pandemic?,Did the library have any temporary staffing reductions due to the COVID-19 Pandemic,If your library reduced staffing hours Due to COVID-19 provide an approximate total of the hours reduced,Were library staff re-assigned to assist other government agencies or nonprofit organizations with Coronavirus (COVID-19) pandemic -related efforts?,Did your library experience budget reductions due to the COVID-19 Pandemic,"If your budget was reduced due to COVID-19, please enter the approximate amount of the reduction",Did the library add or increase access to electronic collections or eMaterials due to the Coronavirus (COVID-19) pandemic?,"Did the library provide live, virtual programs via the Internet during the Coronavirus (COVID-19) pandemic?",Did the library create and provide recordings of programs via the Internet during the Coronavirus (COVID-19) pandemic?,(COVID-19) Children's Virtual Programs Offered (Live Events Only),(COVID-19) Children's Virtual Program Attendance (Live Events Only),(COVID-19) Teen Virtual Programs Offered (Live Events Only),(COVID-19) Teen Virtual Program Attendance (Live Events Only),(COVID-19) Adult Virtual Programs Offered (Live Events Only),(COVID-19) Adult Virtual Program Attendance (Live Events Only),(COVID-19) General Virtual Programs Offered (Live Events Only),(COVID-19) General Virtual Programs Attendance (Live Events Only),(COVID-19) The number of Library Created Virtual Recorded Program Content Offered due to the COVID-19 Pandemic,(COVID-19) Total Library Created Virtual Program Recorded Views,Did the library provide ‘outside’ services for circulation of physical materials at any outlets during the Coronavirus (COVID-19) pandemic,"Due to the COVID-19 Pandemic, did your library circulate electronic devices capable of providing remote internet access (Hoptspots, laptops with mobile broadband, etc)",(COVID-19) Circulation of Internet Devices,Did the library provide reference service via the Internet or telephone during the Coronavirus (COVID-19) pandemic?,8. Reference Transactions,Are Reference transactions Counted or Estimated?,"Did the library provide WiFi Internet access to users outside the building, at any outlet, before the Coronavirus (COVID-19) pandemic?”","Did the library provide or increase access to WiFi Internet access to users outside the building, at any outlet, during the Coronavirus (COVID-19) pandemic?",Did the library issue library cards electronically before the Coronavirus (COVID-19) pandemic?,Did the library issue library cards electronically during the Coronavirus (COVID-19) pandemic?
0,MI0147,Alden District Library,Mid-Michigan Library League,"Class 1: Serve 3,999 or less",District,Yes,Yes,480,Yes,548,No,No,0,No,No,No,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0,Yes,133.0,Estimated,Yes,No,No,Yes
1,MI9010,Ashley District Library,White Pine Library Cooperative,"Class 1: Serve 3,999 or less",District,Yes,No,0,Yes,44,No,No,0,No,No,No,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0,No,85.0,Counted,Yes,Yes,No,No
2,MI0023,Beaver Island District Library,Northland Library Cooperative,"Class 1: Serve 3,999 or less",District,Yes,Yes,575,No,0,No,No,0,No,Yes,Yes,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Yes,No,DNR,Yes,120.0,Estimated,Yes,Yes,Yes,Yes
3,MI0024,Bellaire Public Library,Mid-Michigan Library League,"Class 1: Serve 3,999 or less",District,Yes,Yes,330,No,0,No,No,0,Yes,Yes,Yes,1,23,0,0.0,3.0,18.0,0.0,0.0,58.0,1730.0,Yes,Yes,72,Yes,300.0,Estimated,Yes,Yes,No,Yes
4,MI0025,Bellevue Township Library,Woodlands Library Cooperative,"Class 1: Serve 3,999 or less",Township,Yes,Yes,380,No,0,No,No,0,No,No,No,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,3,No,527.0,Counted,Yes,Yes,No,No
5,MI0114,Benzie Shores District Library,Mid-Michigan Library League,"Class 1: Serve 3,999 or less",District,Yes,Yes,40,Yes,324,No,No,0,Yes,No,Yes,0,0,4,0.0,3.0,12.0,0.0,0.0,4.0,145.0,Yes,Yes,9,Yes,4725.0,Estimated,Yes,Yes,No,Yes
6,MI0029,Benzonia Public Library,Mid-Michigan Library League,"Class 1: Serve 3,999 or less",Village,Yes,Yes,36,No,0,No,No,0,Yes,No,Yes,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,290.0,Yes,No,0,Yes,1895.0,Counted,Yes,Yes,No,Yes
7,MI0033,Betsie Valley District Library,Mid-Michigan Library League,"Class 1: Serve 3,999 or less",District,Yes,Yes,48,Yes,280,No,No,0,No,No,Yes,0,0,0,0.0,0.0,0.0,0.0,0.0,21.0,600.0,Yes,No,0,Yes,684.0,Estimated,Yes,Yes,No,No
8,MI0048,Burr Oak Township Library,Woodlands Library Cooperative,"Class 1: Serve 3,999 or less",Township,Yes,No,28,Yes,354,No,No,0,No,Yes,Yes,4,12,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,No,No,0,Yes,45.0,Estimated,Yes,No,No,No
9,MI0053,Carp Lake Township Library,Superiorland Library Cooperative,"Class 1: Serve 3,999 or less",Township,Yes,Yes,34,Yes,32,No,No,0,No,No,No,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,No,0,Yes,78.0,Counted,Yes,Yes,No,No
10,MI0058,Central Lake District Library,Mid-Michigan Library League,"Class 1: Serve 3,999 or less",District,Yes,No,0,No,0,No,No,0,No,No,No,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0,No,1527.0,Estimated,No,No,No,No
11,MI0062,Chase Township Public Library,Mid-Michigan Library League,"Class 1: Serve 3,999 or less",Township,Yes,Yes,54,Yes,297,No,No,0,No,No,Yes,8,0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,Yes,No,DNR,Yes,518.0,Estimated,Yes,Yes,No,No
12,MI0065,Clinton Township Public Library,Woodlands Library Cooperative,"Class 1: Serve 3,999 or less",Township,Yes,Yes,423,Yes,435,No,No,0,Yes,Yes,Yes,12,104,0,0.0,5.0,14.0,0.0,0.0,25.0,1070.0,Yes,Yes,DNR,Yes,2500.0,Estimated,Yes,Yes,No,No
13,MI0068,Colon Township Library,Woodlands Library Cooperative,"Class 1: Serve 3,999 or less",Township,Yes,Yes,1,No,0,No,No,0,Yes,Yes,Yes,3,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0,Yes,2000.0,Estimated,Yes,Yes,No,No
14,MI0069,Columbia Township Library,White Pine Library Cooperative,"Class 1: Serve 3,999 or less",Township,Yes,Yes,494,Yes,164,No,No,0,No,No,No,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,99,Yes,200.0,Counted,Yes,No,No,No
15,MI0076,Crooked Tree District Library,Northland Library Cooperative,"Class 1: Serve 3,999 or less",District,Yes,Yes,8,No,0,No,No,DNR,Yes,No,No,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,No,0,No,1248.0,Estimated,Yes,Yes,No,No
16,MI0429,Croton Township Library,Lakeland Library Cooperative,"Class 1: Serve 3,999 or less",Township,Yes,Yes,385,No,0,No,No,0,No,Yes,Yes,62,60,0,0.0,3.0,15.0,0.0,0.0,65.0,75.0,Yes,Yes,4,Yes,963.0,Counted,Yes,Yes,No,Yes
17,MI0077,Crystal Falls District Community Library,Superiorland Library Cooperative,"Class 1: Serve 3,999 or less",District,Yes,Yes,150,No,1000,No,No,0,Yes,Yes,Yes,1,14,4,16.0,6.0,60.0,11.0,90.0,3.0,44.0,Yes,Yes,0,Yes,930.0,Counted,Yes,No,No,Yes
18,MI0417,Curtis Township Library,Superiorland Library Cooperative,"Class 1: Serve 3,999 or less",Township,Yes,Yes,405,No,6,No,Yes,4448,Yes,No,No,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0,Yes,1743.0,Estimated,Yes,Yes,No,No
19,MI0034,Darcy Library of Beulah,Mid-Michigan Library League,"Class 1: Serve 3,999 or less",Village,Yes,Yes,45,Yes,761,No,Yes,7000,Yes,No,No,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,No,0,No,2718.0,Counted,Yes,No,No,No
20,MI0099,Elk Township Library,White Pine Library Cooperative,"Class 1: Serve 3,999 or less",Township,Yes,No,0,No,0,No,No,0,No,No,No,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0,No,50.0,Estimated,No,No,No,No
21,MI0100,Elsie Public Library,White Pine Library Cooperative,"Class 1: Serve 3,999 or less",District,Yes,No,0,Yes,252,No,Yes,0,Yes,No,Yes,0,0,0,0.0,0.0,0.0,0.0,0.0,42.0,969.0,No,No,0,No,3012.0,Estimated,Yes,Yes,No,No
22,MI0103,Fairgrove District Library,White Pine Library Cooperative,"Class 1: Serve 3,999 or less",District,Yes,No,0,Yes,40,No,No,0,Yes,Yes,No,3,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,65,Yes,1125.0,Estimated,Yes,Yes,No,No
