,FSCS,Location,Library Class,Total Population Served,Print Materials Expenditure,Other Materials Expenditure,Electronic Materials Expenditure,Total Collection Expenditures,Salaries and Wages,Employee Benefits,Total Staff Expenditures,Other Operating Expenditures,Total Operating Expenditures,Total Operating Expenditures Per Capita
0,MI0147,Alden District Library,"Class 1: Serve 3,999 or less",1285.0,9379.0,2204.0,2338.0,13921.0,65494.0,5010.0,70504.0,37773.0,122198.0,95.09571984435797
1,MI9010,Ashley District Library,"Class 1: Serve 3,999 or less",3248.0,6364.0,0.0,1970.0,8334.0,2100.0,0.0,2100.0,0.0,10434.0,3.2124384236453203
2,MI0023,Beaver Island District Library,"Class 1: Serve 3,999 or less",657.0,7125.0,2375.0,2000.0,11500.0,68385.0,6780.0,75165.0,55904.0,142569.0,217.0
3,MI0024,Bellaire Public Library,"Class 1: Serve 3,999 or less",3769.0,17463.0,11931.0,2000.0,31394.0,72636.0,5798.0,78434.0,36888.0,146716.0,38.92703634916423
4,MI0025,Bellevue Township Library,"Class 1: Serve 3,999 or less",3150.0,1700.0,0.0,250.0,1950.0,19561.0,3774.0,23335.0,12127.0,37412.0,11.876825396825398
5,MI0114,Benzie Shores District Library,"Class 1: Serve 3,999 or less",3811.0,21346.0,6134.0,6524.0,34004.0,126100.0,29060.0,155160.0,130464.0,319628.0,83.86985043295724
6,MI0029,Benzonia Public Library,"Class 1: Serve 3,999 or less",3623.0,8440.0,2935.0,1459.0,12834.0,55757.0,4490.0,60247.0,49052.0,122133.0,33.71046094396909
7,MI0033,Betsie Valley District Library,"Class 1: Serve 3,999 or less",2937.0,4178.0,408.0,1345.0,5931.0,43017.0,3291.0,46308.0,15243.0,67482.0,22.97650663942799
8,MI0048,Burr Oak Township Library,"Class 1: Serve 3,999 or less",2611.0,400.0,370.0,0.0,770.0,20300.0,1500.0,21800.0,200.0,22770.0,8.720796629643814
9,MI0053,Carp Lake Township Library,"Class 1: Serve 3,999 or less",722.0,1622.0,436.0,250.0,2308.0,13928.0,1065.0,14993.0,9223.0,26524.0,36.73684210526316
10,MI0058,Central Lake District Library,"Class 1: Serve 3,999 or less",3995.0,8026.0,0.0,3945.0,11971.0,77277.0,5912.0,83189.0,53920.0,149080.0,37.31664580725907
