,FSCS,Location,Library Class,County,Report Start Period,Report End Period,Total Population Served,Did your library experience budget reductions due to the COVID-19 Pandemic,"If your budget was reduced due to COVID-19, please enter the approximate amount of the reduction",Subtotal Legal Service Area Population Served,Subtotal Local Penal Fine Revenues,Subtotal Income From Voted Millage,Subtotal Appropriated Tax Income,Subtotal Other Local Government Income,Subtotal Total Local Government Income,Subtotal Other Local Operating Income,Contracted Municipality Population Served,CM Penal Fine Revenues,CM Income From Voted Millage,CM Appropriated Tax Income,Contract Fee Income,CM Total Local Government Income,CM Other Local Operating Income,Total Local Government Income,Total Other Local Operating Income,Total Local Operating Income,State Government Operating Income,Federal Government Operating Income,Total Operating Income,Total Operating Income Per Capita
0,MI0147,Alden District Library,"Class 1: Serve 3,999 or less",Antrim,07/01/2019,06/30/2020,1285.0,No,0,1001.0,3276.0,136915.0,0.0,4171.0,144362.0,10045.0,284.0,0.0,0.0,2000.0,0.0,2000.0,0.0,146362.0,10045.0,156407.0,1030.0,0.0,157437.0,122.51906614785992
1,MI9010,Ashley District Library,"Class 1: Serve 3,999 or less",Gratiot,07/01/2019,06/30/2020,3248.0,No,0,3126.0,22134.0,53178.0,0.0,750.0,76062.0,750.0,122.0,1005.0,0.0,0.0,750.0,1755.0,0.0,77817.0,750.0,78567.0,1795.0,0.0,80362.0,24.741995073891626
2,MI0023,Beaver Island District Library,"Class 1: Serve 3,999 or less",Charlevoix,04/01/2019,03/31/2020,657.0,No,0,657.0,2434.0,114515.0,0.0,0.0,116949.0,12299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116949.0,12299.0,129248.0,527.0,0.0,129775.0,197.52663622526637
3,MI0024,Bellaire Public Library,"Class 1: Serve 3,999 or less",Antrim,01/01/2019,12/31/2019,3769.0,No,0,3485.0,9610.0,110336.0,0.0,0.0,119946.0,29979.0,284.0,0.0,0.0,0.0,2000.0,2000.0,0.0,121946.0,29979.0,151925.0,3020.0,0.0,154945.0,41.110374104537016
4,MI0025,Bellevue Township Library,"Class 1: Serve 3,999 or less",Eaton,04/01/2019,03/31/2020,3150.0,No,0,3150.0,0.0,0.0,0.0,29449.0,29449.0,6851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29449.0,6851.0,36300.0,2525.0,0.0,38825.0,12.325396825396826
5,MI0114,Benzie Shores District Library,"Class 1: Serve 3,999 or less",Benzie,07/01/2019,06/30/2020,3811.0,No,0,3811.0,15947.0,295148.0,0.0,0.0,311095.0,5479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311095.0,5479.0,316574.0,3054.0,0.0,319628.0,83.86985043295724
6,MI0029,Benzonia Public Library,"Class 1: Serve 3,999 or less",Benzie,07/01/2019,06/30/2020,3623.0,No,0,1364.0,5216.0,66897.0,0.0,0.0,72113.0,24894.0,2259.0,8639.0,0.0,0.0,2500.0,11139.0,0.0,83252.0,24894.0,108146.0,3904.0,30940.0,142990.0,39.467292299199556
7,MI0033,Betsie Valley District Library,"Class 1: Serve 3,999 or less",Benzie,10/01/2019,09/30/2020,2937.0,No,0,2937.0,13239.0,64606.0,0.0,1721.0,79566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79566.0,0.0,79566.0,2352.0,0.0,81918.0,27.891726251276815
8,MI0048,Burr Oak Township Library,"Class 1: Serve 3,999 or less",St. Joseph,10/01/2019,09/30/2020,2611.0,No,0,2611.0,5385.0,0.0,0.0,22500.0,27885.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27885.0,2000.0,29885.0,2090.0,0.0,31975.0,12.246265798544618
9,MI0053,Carp Lake Township Library,"Class 1: Serve 3,999 or less",Ontonagon,04/01/2019,03/31/2020,722.0,No,0,722.0,3235.0,22443.0,0.0,2607.0,28285.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28285.0,450.0,28735.0,865.0,0.0,29600.0,40.99722991689751
10,MI0058,Central Lake District Library,"Class 1: Serve 3,999 or less",Antrim,01/01/2019,12/31/2019,3995.0,No,0,3302.0,8076.0,119242.0,0.0,9077.0,136395.0,0.0,693.0,1274.0,47418.0,0.0,2100.0,50792.0,0.0,187187.0,0.0,187187.0,3562.0,0.0,190749.0,47.74693366708385
