,FSCS,Location,Library Class,Report Start Period,Report End Period,Number of Central Libraries,Number of Branch Libraries,Number of Bookmobiles,Total Number of Outlets,Central Library(ies) Square Feet,Branch(es) Square Feet,Total Square Feet,Total Annual Public Service Hours
0,MI0147,Alden District Library,"Class 1: Serve 3,999 or less",07/01/2019,06/30/2020,1.0,0.0,0.0,1.0,2520.0,0.0,2520.0,1976.0
1,MI9010,Ashley District Library,"Class 1: Serve 3,999 or less",07/01/2019,06/30/2020,1.0,0.0,0.0,1.0,2723.0,0.0,2723.0,2288.0
2,MI0023,Beaver Island District Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,2995.0,0.0,2995.0,2400.0
3,MI0024,Bellaire Public Library,"Class 1: Serve 3,999 or less",01/01/2019,12/31/2019,1.0,0.0,0.0,1.0,4000.0,0.0,4000.0,1878.0
4,MI0025,Bellevue Township Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,880.0,0.0,880.0,1212.0
5,MI0114,Benzie Shores District Library,"Class 1: Serve 3,999 or less",07/01/2019,06/30/2020,1.0,0.0,0.0,1.0,4500.0,0.0,4500.0,1669.0
6,MI0029,Benzonia Public Library,"Class 1: Serve 3,999 or less",07/01/2019,06/30/2020,1.0,0.0,0.0,1.0,3150.0,0.0,3150.0,1584.0
7,MI0033,Betsie Valley District Library,"Class 1: Serve 3,999 or less",10/01/2019,09/30/2020,1.0,0.0,0.0,1.0,1513.0,0.0,1513.0,1380.0
8,MI0048,Burr Oak Township Library,"Class 1: Serve 3,999 or less",10/01/2019,09/30/2020,1.0,0.0,0.0,1.0,3240.0,0.0,3240.0,1456.0
9,MI0053,Carp Lake Township Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,2331.0,0.0,2331.0,739.0
10,MI0058,Central Lake District Library,"Class 1: Serve 3,999 or less",01/01/2019,12/31/2019,1.0,0.0,0.0,1.0,5300.0,0.0,5300.0,2340.0
11,MI0062,Chase Township Public Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,3248.0,0.0,3248.0,1445.0
12,MI0065,Clinton Township Public Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,6900.0,0.0,6900.0,2236.0
13,MI0068,Colon Township Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,8312.0,0.0,8312.0,1872.0
14,MI0069,Columbia Township Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,7810.0,0.0,7810.0,2022.0
15,MI0076,Crooked Tree District Library,"Class 1: Serve 3,999 or less",07/01/2019,06/30/2020,1.0,1.0,0.0,2.0,3000.0,2060.0,5060.0,2529.0
16,MI0429,Croton Township Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,4144.0,0.0,4144.0,1304.0
17,MI0077,Crystal Falls District Community Library,"Class 1: Serve 3,999 or less",01/01/2019,12/31/2019,1.0,0.0,0.0,1.0,4580.0,0.0,4580.0,2518.0
18,MI0417,Curtis Township Library,"Class 1: Serve 3,999 or less",01/01/2019,12/31/2019,1.0,0.0,0.0,1.0,3796.0,0.0,3796.0,477.0
19,MI0034,Darcy Library of Beulah,"Class 1: Serve 3,999 or less",07/01/2019,06/30/2020,1.0,0.0,0.0,1.0,3000.0,0.0,3000.0,1122.0
20,MI0099,Elk Township Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,912.0,0.0,912.0,1820.0
21,MI0100,Elsie Public Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,3420.0,0.0,3420.0,1006.0
22,MI0103,Fairgrove District Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,4288.0,0.0,4288.0,2600.0
23,MI0109,Fife Lake Public Library,"Class 1: Serve 3,999 or less",01/01/2019,12/31/2019,1.0,0.0,0.0,1.0,4800.0,0.0,4800.0,2080.0
24,MI0115,Franklin Public Library,"Class 1: Serve 3,999 or less",07/01/2019,06/30/2020,1.0,0.0,0.0,1.0,1870.0,0.0,1870.0,2200.0
25,MI0120,Galien Township Public Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,4290.0,0.0,4290.0,1985.0
26,MI0376,George W. Spindler Memorial Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,1738.0,0.0,1738.0,1040.0
27,MI0128,Glen Lake Community Library,"Class 1: Serve 3,999 or less",01/01/2019,12/31/2019,1.0,0.0,0.0,1.0,3400.0,0.0,3400.0,2300.0
28,MI0436,Goodland Township Library,"Class 1: Serve 3,999 or less",07/01/2019,06/30/2020,1.0,0.0,0.0,1.0,2500.0,0.0,2500.0,780.0
29,MI0155,Homer Public Library,"Class 1: Serve 3,999 or less",01/01/2019,12/31/2019,1.0,0.0,0.0,1.0,6400.0,0.0,6400.0,2064.0
30,MI0167,Indian River Area Library,"Class 1: Serve 3,999 or less",07/01/2019,06/30/2020,1.0,0.0,0.0,1.0,5000.0,0.0,5000.0,1400.0
31,MI0187,Lake Linden-Hubbell School/Public Library,"Class 1: Serve 3,999 or less",07/01/2019,06/30/2020,1.0,0.0,0.0,1.0,3100.0,0.0,3100.0,2019.0
32,MI0191,Lawrence Memorial Public Library,"Class 1: Serve 3,999 or less",10/01/2019,09/30/2020,1.0,0.0,0.0,1.0,1715.0,0.0,1715.0,882.0
33,MI0192,Lawton Public Library,"Class 1: Serve 3,999 or less",03/01/2019,02/28/2020,1.0,0.0,0.0,1.0,4932.0,0.0,4932.0,1976.0
34,MI0193,Leelanau Township Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,2800.0,0.0,2800.0,1820.0
35,MI0197,LeRoy Community Library,"Class 1: Serve 3,999 or less",07/01/2019,06/30/2020,1.0,0.0,0.0,1.0,1980.0,0.0,1980.0,1352.0
36,MI0199,Litchfield District Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,1000.0,0.0,1000.0,1456.0
37,MI0205,Lyons Township District Library,"Class 1: Serve 3,999 or less",03/01/2019,02/28/2020,1.0,0.0,0.0,1.0,2200.0,0.0,2200.0,1768.0
38,MI0207,Mackinac Island Public Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,3360.0,0.0,3360.0,1720.0
39,MI0215,Maple Rapids Public Library,"Class 1: Serve 3,999 or less",01/01/2019,12/31/2019,1.0,0.0,0.0,1.0,1800.0,0.0,1800.0,1248.0
40,MI0227,Merrill District Library,"Class 1: Serve 3,999 or less",01/01/2019,12/31/2019,1.0,0.0,0.0,1.0,3125.0,0.0,3125.0,1474.0
41,MI0238,Mulliken District Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,3444.0,0.0,3444.0,980.0
42,MI0247,North Branch Township Library,"Class 1: Serve 3,999 or less",07/01/2019,06/30/2020,1.0,0.0,0.0,1.0,6300.0,0.0,6300.0,2236.0
43,MI0254,Ontonagon Township Library,"Class 1: Serve 3,999 or less",05/01/2019,04/30/2020,1.0,1.0,0.0,2.0,3285.0,980.0,4265.0,2096.0
44,MI0256,Osceola Township School Public Library,"Class 1: Serve 3,999 or less",07/01/2019,06/30/2020,1.0,0.0,0.0,1.0,1800.0,0.0,1800.0,1273.0
45,MI0267,Pentwater Township Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,3175.0,0.0,3175.0,2410.0
46,MI0427,Ray Township Public Library,"Class 1: Serve 3,999 or less",04/01/2019,03/31/2020,1.0,0.0,0.0,1.0,1496.0,0.0,1496.0,1400.0
47,MI0285,Republic-Michigamme Public Library,"Class 1: Serve 3,999 or less",07/01/2019,06/30/2020,1.0,0.0,0.0,1.0,2538.0,0.0,2538.0,520.0
