,FSCS,Location,Library Class,"Provided live, virtual programs via the Internet during the Coronavirus (COVID-19) pandemic?",Created and provided recordings of programs via the Internet during the Coronavirus (COVID-19) pandemic?,Children's Events (Non Summer Reading),Children's Events Attendance (Non Summer Reading),Teen Events (Non Summer Reading),Teen  Events Attendance(Non Summer Reading),Summer Reading Events Children Programs,Summer Reading Events Children Attendance,Summer Reading Events Teens Programs,Summer Reading Events Teens Attendance,How Many Children Signed Up For The Summer Reading Program,How Many Teens Signed Up For The Summer Reading Program?,Total Summer Reading Program Participation,(COVID-19) Children's Virtual Programs Offered (Live Virtual Events Only),(COVID-19) Children's Virtual Program Attendance (Live Virtual Events Only),Total Children's Programs,Total Children's Program Attendance,Do any of your programs focus on early literacy for ages 0-5?, Early Literacy Programs (Subset of Children's programming), Early Literacy Program Attendance (Subset of Children's programming),(COVID-19) Teen Virtual Programs Offered (Virtual Live Events Only),(COVID-19) Teen Virtual Program Attendance (Virtual Live Events Only),Total Teen Programs,Total Teen Program Attendance,(COVID-19) Adult Virtual Programs Offered (Virtual Live Events Only),(COVID-19) Adult Virtual Program Attendance (Virtual Live Events Only),Adult Programs,Adult Program Attendance,(COVID-19) General Virtual Programs Offered (Virtual Live Events Only),(COVID-19) General Virtual Programs Attendance (Virtual Live Events Only),General Programs,General Program Attendance,(COVID-19) Total Virtual Programs Offered (Live Virtual Events Only),(COVID-19) Total Virtual Programs Attendance (Live Virtual Events Only),Total Physical in Person Programs ,Total Physical in Person Program Attendance,Total Programs (Virtual + Physical),Total Programs Attendance (Virtual + Physical),Attend Per Program,Attend Per Capita,(COVID-19) The number of Library Created Virtual Recorded Program Content Offered due to the COVID-19 Pandemic,(COVID-19) Total Library Created Virtual Program Content Recorded Views,Total Population Served
0,MI0147,Alden District Library,"Class 1: Serve 3,999 or less",No,No,0.0,0.0,0.0,0.0,10.0,71.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,10.0,71.0,Yes,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,1562.0,0.0,0.0,9.0,471.0,0.0,0.0,129.0,2104.0,129.0,2104.0,16.310077519379846,1.6373540856031128,0.0,0.0,1285.0
1,MI9010,Ashley District Library,"Class 1: Serve 3,999 or less",No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3248.0
2,MI0025,Bellevue Township Library,"Class 1: Serve 3,999 or less",No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3150.0
3,MI0053,Carp Lake Township Library,"Class 1: Serve 3,999 or less",No,No,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,722.0
4,MI0058,Central Lake District Library,"Class 1: Serve 3,999 or less",No,No,38.0,248.0,0.0,0.0,2.0,73.0,0.0,0.0,73.0,0.0,73.0,0.0,0.0,40.0,321.0,Yes,38.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,1372.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,1693.0,238.0,1693.0,7.11344537815126,0.42377972465581976,0.0,0.0,3995.0
5,MI0068,Colon Township Library,"Class 1: Serve 3,999 or less",Yes,Yes,130.0,1000.0,40.0,200.0,3.0,50.0,0.0,0.0,36.0,0.0,36.0,3.0,50.0,133.0,1050.0,Yes,50.0,200.0,0.0,0.0,40.0,200.0,0.0,0.0,164.0,946.0,0.0,0.0,2.0,595.0,3.0,50.0,339.0,2791.0,342.0,2841.0,8.307017543859649,0.7470418090980805,0.0,0.0,3803.0
6,MI0069,Columbia Township Library,"Class 1: Serve 3,999 or less",No,No,59.0,217.0,0.0,0.0,16.0,166.0,0.0,0.0,84.0,0.0,84.0,0.0,0.0,75.0,383.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,54.0,0.0,0.0,84.0,439.0,84.0,439.0,5.226190476190476,0.18499789296249472,0.0,0.0,2373.0
7,MI0076,Crooked Tree District Library,"Class 1: Serve 3,999 or less",No,No,13.0,77.0,0.0,0.0,21.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,249.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,682.0,95.0,682.0,7.178947368421053,0.1725271945357956,0.0,0.0,3953.0
8,MI0417,Curtis Township Library,"Class 1: Serve 3,999 or less",No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,1.0,37.0,1.0,37.0,37.0,0.029935275080906147,0.0,0.0,1236.0
9,MI0034,Darcy Library of Beulah,"Class 1: Serve 3,999 or less",No,No,9.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,80.0,Yes,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,282.0,0.0,0.0,3.0,374.0,0.0,0.0,36.0,736.0,36.0,736.0,20.444444444444443,0.23151934570619692,0.0,0.0,3179.0
