,FSCS2,Location,Library Class,Total Population Served,Number of active registered borrowers,Library Visits,Virtual Visits to the Library's Website,Circulation of Children's Materials,Circulation of Non-Children's Materials,Circulation of Electronic Materials,Total Circulation,Electronic Collection (Dbase) Use,Total Physical Circulation,Total Electronic Content Use (eMaterials + Dbase Use),Total Collection Use (Physical + all eFormats),Total Collection Use Per Capita,Children's Circ Per Capita,Non-Children's Circ Per Capita,eMaterials Circ Per Capita,Total Circulation Per Capita,Circulation Per Cardholder,Reference Transactions,Did the library provide reference service via the Internet or telephone during the Coronavirus (COVID-19) pandemic?,Are Reference transactions Counted or Estimated?,Number of items loaned to other libraries,Number of items borrowed from other libraries,Uses (Sessions) of Public Internet Computers Per Year,Do you provide Wireless Internet Access to Patrons?,Uses of Wireless Logins Per Year,Did the library provide ‘outside’ services for circulation of physical materials at any outlets during the Coronavirus (COVID-19) pandemic,"Due to the COVID-19 Pandemic, did your library circulate electronic devices capable of providing remote internet access (Hoptspots, laptops with mobile broadband, etc)",(COVID-19) Circulation of Internet Devices
0,MI0405,Alden District Library,"Class 1: Serve 3,999 or less",1285.0,1864.0,11000.0,4990.0,1802.0,8119.0,2521.0,12442.0,317,9921.0,2838.0,12759.0,9.929182879377432,1.4023346303501945,6.31828793774319,1.9618677042801556,9.68249027237354,6.674892703862661,133.0,Yes,Estimated,208.0,518.0,1118.0,Yes,2038,No,No,0
1,MI0406,Ashley District Library,"Class 1: Serve 3,999 or less",3248.0,630.0,16848.0,0.0,5482.0,1035.0,225.0,6742.0,0,6517.0,225.0,6742.0,2.0757389162561575,1.687807881773399,0.3186576354679803,0.06927339901477833,2.0757389162561575,10.7015873015873,85.0,No,Counted,69.0,8.0,2860.0,Yes,850,No,No,0
2,MI0372,Beaver Island District Library,"Class 1: Serve 3,999 or less",657.0,2349.0,14504.0,,4145.0,4431.0,1084.0,9660.0,0,8576.0,1084.0,9660.0,14.703196347031964,6.308980213089802,6.744292237442922,1.6499238964992389,14.703196347031964,4.112388250319285,120.0,Yes,Estimated,0.0,149.0,2249.0,Yes,DNR,Yes,No,0
3,MI0407,Bellaire Public Library,"Class 1: Serve 3,999 or less",3769.0,911.0,31910.0,22485.0,8541.0,32308.0,4105.0,44954.0,36544,40849.0,40649.0,81498.0,21.623242239320774,2.266118333775537,8.5720350225524,1.0891483152029715,11.92730167153091,49.345773874862786,300.0,Yes,Estimated,701.0,1551.0,6529.0,Yes,6569,Yes,Yes,72
4,MI0408,Bellevue Township Library,"Class 1: Serve 3,999 or less",3150.0,2253.0,2217.0,,1847.0,8810.0,600.0,11257.0,DNR,10657.0,600.0,11257.0,3.5736507936507937,0.5863492063492064,2.7968253968253967,0.19047619047619047,3.5736507936507937,4.996449178872615,527.0,No,Counted,610.0,800.0,427.0,Yes,204,No,Yes,3
5,MI0409,Benzie Shores District Library,"Class 1: Serve 3,999 or less",3811.0,3208.0,39283.0,14789.0,9384.0,26118.0,10992.0,46494.0,1489,35502.0,12481.0,47983.0,12.590658619784833,2.4623458409866177,6.853319338756232,2.8842823405930202,12.19994752033587,14.493142144638403,4725.0,Yes,Estimated,934.0,1574.0,4061.0,Yes,7335,Yes,Yes,9
6,MI0147,Benzonia Public Library,"Class 1: Serve 3,999 or less",3623.0,1312.0,22198.0,17028.0,5487.0,14704.0,4608.0,24799.0,0,20191.0,4608.0,24799.0,6.844879933756555,1.514490753519183,4.058515042782225,1.2718741374551477,6.844879933756555,18.901676829268293,1895.0,Yes,Counted,1262.0,1642.0,2025.0,Yes,9800,Yes,No,0
7,MI0410,Betsie Valley District Library,"Class 1: Serve 3,999 or less",2937.0,663.0,3841.0,6947.0,759.0,2516.0,753.0,4028.0,0,3275.0,753.0,4028.0,1.3714674838270344,0.25842696629213485,0.8566564521620701,0.25638406537282943,1.3714674838270344,6.075414781297134,684.0,Yes,Estimated,135.0,529.0,403.0,Yes,262,Yes,No,0
8,MI9017,Burr Oak Township Library,"Class 1: Serve 3,999 or less",2611.0,1654.0,1452.0,4056.0,1014.0,1725.0,0.0,2739.0,0,2739.0,0.0,2739.0,1.049023362696285,0.38835695135963233,0.6606664113366526,0.0,1.049023362696285,1.6559854897218864,45.0,Yes,Estimated,201.0,134.0,117.0,Yes,180,No,No,0
9,MI0411,Carp Lake Township Library,"Class 1: Serve 3,999 or less",722.0,249.0,1638.0,545.0,51.0,1120.0,192.0,1363.0,0,1171.0,192.0,1363.0,1.8878116343490305,0.07063711911357341,1.551246537396122,0.2659279778393352,1.8878116343490305,5.473895582329317,78.0,Yes,Counted,0.0,30.0,661.0,Yes,266,Yes,No,0
10,MI0412,Central Lake District Library,"Class 1: Serve 3,999 or less",3995.0,3398.0,16748.0,11862.0,4307.0,9949.0,4114.0,18370.0,0,14256.0,4114.0,18370.0,4.598247809762203,1.0780976220275345,2.4903629536921152,1.0297872340425531,4.598247809762203,5.406121247792819,1527.0,No,Estimated,1603.0,3507.0,5236.0,Yes,7428,No,No,0
11,MI0149,Chase Township Public Library,"Class 1: Serve 3,999 or less",1854.0,1637.0,2838.0,737.0,4160.0,2704.0,0.0,6864.0,0,6864.0,0.0,6864.0,3.7022653721682848,2.243797195253506,1.458468176914779,0.0,3.7022653721682848,4.1930360415394015,518.0,Yes,Estimated,0.0,0.0,259.0,Yes,456,Yes,No,0
12,MI0414,Clinton Township Public Library,"Class 1: Serve 3,999 or less",3604.0,865.0,21665.0,5500.0,11215.0,15488.0,2824.0,29527.0,250,26703.0,3074.0,29777.0,8.262208657047724,3.1118201997780246,4.297447280799112,0.7835738068812431,8.19284128745838,34.13526011560694,2500.0,Yes,Estimated,1042.0,2293.0,1676.0,Yes,500,Yes,Yes,DNR
13,MI0010,Colon Township Library,"Class 1: Serve 3,999 or less",3803.0,4803.0,23000.0,6536.0,6018.0,10074.0,2787.0,18879.0,3468,16092.0,6255.0,22347.0,5.876150407572969,1.5824349198001577,2.648961346305548,0.7328424927688667,4.964238758874573,3.9306683322923175,2000.0,Yes,Estimated,1471.0,2622.0,3620.0,Yes,31000,No,No,0
14,MI0012,Columbia Township Library,"Class 1: Serve 3,999 or less",2373.0,1104.0,5827.0,10828.0,5239.0,8477.0,965.0,14681.0,239,13716.0,1204.0,14920.0,6.2873999157185,2.207753898019385,3.5722713864306783,0.4066582385166456,6.1866835229667085,13.298007246376812,200.0,Yes,Counted,777.0,1083.0,565.0,Yes,8,Yes,Yes,99
15,MI0013,Crooked Tree District Library,"Class 1: Serve 3,999 or less",3953.0,1808.0,4029.0,5512.0,1409.0,2414.0,2797.0,6620.0,0,3823.0,2797.0,6620.0,1.6746774601568428,0.3564381482418416,0.6106754363774348,0.7075638755375664,1.6746774601568428,3.661504424778761,1248.0,No,Estimated,3630.0,1620.0,764.0,Yes,DNR,Yes,No,0
16,MI9010,Croton Township Library,"Class 1: Serve 3,999 or less",3228.0,632.0,5861.0,4852.0,3804.0,13798.0,1037.0,18639.0,0,17602.0,1037.0,18639.0,5.7741635687732344,1.178438661710037,4.274473358116481,0.32125154894671626,5.7741635687732344,29.492088607594937,963.0,Yes,Counted,1308.0,1786.0,2136.0,Yes,458,Yes,Yes,4
17,MI0014,Crystal Falls District Community Library,"Class 1: Serve 3,999 or less",3453.0,1908.0,17461.0,4119.0,2651.0,13963.0,1706.0,18320.0,1,16614.0,1707.0,18321.0,5.305821025195482,0.7677381986678251,4.043730089777005,0.4940631335070953,5.305531421951926,9.60167714884696,930.0,Yes,Counted,4.0,42.0,1958.0,Yes,3964,Yes,Yes,0
18,MI0015,Curtis Township Library,"Class 1: Serve 3,999 or less",1236.0,793.0,1237.0,4091.0,181.0,3579.0,593.0,4353.0,0,3760.0,593.0,4353.0,3.5218446601941746,0.1464401294498382,2.895631067961165,0.4797734627831715,3.5218446601941746,5.489281210592686,1743.0,Yes,Estimated,718.0,194.0,537.0,Yes,3324,No,No,0
19,MI0016,Darcy Library of Beulah,"Class 1: Serve 3,999 or less",3179.0,1500.0,14284.0,10683.0,2249.0,10414.0,1151.0,13814.0,0,12663.0,1151.0,13814.0,4.345391632588864,0.7074551745832023,3.2758729160113242,0.3620635419943378,4.345391632588864,9.209333333333333,2718.0,No,Counted,427.0,441.0,3572.0,Yes,DNR,Yes,No,0
20,MI0017,Elk Township Library,"Class 1: Serve 3,999 or less",2769.0,2220.0,3500.0,9440.0,1922.0,2133.0,0.0,4055.0,0,4055.0,0.0,4055.0,1.4644275911881546,0.6941133983387504,0.7703141928494042,0.0,1.4644275911881546,1.8265765765765767,50.0,No,Estimated,96.0,18.0,344.0,Yes,143,No,No,0
