,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
62682,0,ADULT,3,0,35 to 44 years,N4,Noe Valley/Sally Brunn,February,2014,z,email,True,2013,True,0.0
39454,0,ADULT,1,0,25 to 34 years,X,Main Library,March,2016,a,print,False,2016,True,0.0
275931,4,WELCOME,1,0,25 to 34 years,P7,Potrero,September,2014,z,email,True,2014,False,10.0
195961,0,ADULT,102,24,25 to 34 years,G4,Glen Park,July,2013,z,email,True,2009,False,7.0
296644,0,ADULT,108,19,20 to 24 years,R3,Richmond,August,2013,z,email,True,2003,False,1.0
318078,3,SENIOR,469,4,75 years and over,R3,Richmond,July,2016,z,email,True,2003,False,1.0
177719,0,ADULT,10,5,60 to 64 years,X,Main Library,November,2014,z,email,True,2014,True,0.0
221747,0,ADULT,25,18,35 to 44 years,X,Main Library,January,2014,z,email,True,2003,True,0.0
369351,2,YOUNG ADULT,476,218,10 to 19 years,S7,Sunset,December,2015,z,email,True,2008,False,1.0
228068,0,ADULT,178,14,35 to 44 years,W4,Western Addition,June,2016,z,email,True,2012,False,5.0
235935,3,SENIOR,130,9,65 to 74 years,O7,Ortega,February,2015,p,phone,False,2006,False,4.0
7781,0,ADULT,113,22,35 to 44 years,M6,Mission,February,2014,z,email,True,2011,False,11.0
219857,3,SENIOR,1182,4,65 to 74 years,X,Main Library,March,2015,z,email,True,2003,False,2.0
8593,4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,True,2015,True,0.0
224981,0,ADULT,7,7,20 to 24 years,I5,Ingleside,May,2016,p,phone,True,2015,False,11.0
105228,0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,z,email,True,2016,False,8.0
44572,0,ADULT,1796,920,60 to 64 years,A5,Anza,July,2016,z,email,True,2003,False,1.0
199195,4,WELCOME,4,2,25 to 34 years,M4,Merced,May,2016,z,email,True,2015,False,1.0
43371,0,ADULT,0,0,60 to 64 years,P9,Presidio,September,2011,z,email,True,2011,False,4.0
225827,0,ADULT,2,0,45 to 54 years,X,Main Library,April,2016,p,phone,False,2014,False,6.0
367356,1,JUVENILE,19,0,0 to 9 years,E9,Excelsior,July,2016,a,print,False,2016,False,11.0
248199,0,ADULT,8,7,25 to 34 years,R3,Richmond,December,2014,z,email,True,2014,False,1.0
166469,0,ADULT,174,53,25 to 34 years,X,Main Library,October,2014,z,email,True,2007,False,5.0
